weight group sex
27.67 Control M
27.4 Control M
25.77 Control M
25.6 Control M
25.03 Control M
25.9 Control M
26.67 Control M
25.6 Control M
28.93 Control M
31.83 Control M
25.9 Control M
26.3 Control M
27.9 Control M
26.77 Control M
25.83 Control M
20.87 Control M
46.57 leptinKO M
40.43 leptinKO M
41.97 leptinKO M
41.17 leptinKO M
41.57 leptinKO M
46.17 leptinKO M
53.83 leptinKO M
24.33 KOplus M
22.37 KOplus M
26.1 KOplus M
17.5 KOplus M
35.17 KOplus M
25.97 KOplus M
27.67 KOplus M
23.37 KOplus M
31.83 KOplus M
22.37 KOplus M
22.3 Control F
23.3 Control F
23.1 Control F
22.2 Control F
22.3 Control F
19.9 Control F
22.2 Control F
20.6 Control F
22 Control F
20.4 Control F
21 Control F
22 Control F
23.2 Control F
22 Control F
23.3 Control F
20.6 Control F
22.8 Control F
19.5 Control F
20.8 Control F
20.2 Control F
20 Control F
20.8 Control F
17.6 Control F
16.3 Control F
65.8 leptinKO F
51.4 leptinKO F
54.6 leptinKO F
48.3 leptinKO F
50.6 leptinKO F
48.9 leptinKO F
51.2 leptinKO F
46.8 leptinKO F
50.9 leptinKO F
42.7 leptinKO F
28.7 KOplus F
25.6 KOplus F
26.4 KOplus F
22.9 KOplus F
30 KOplus F
29.7 KOplus F
26.1 KOplus F
21.4 KOplus F
29.5 KOplus F
21.9 KOplus F
23.7 KOplus F
21 KOplus F
