PLN,SOC,TEMP,Time,Discharge Capacity,
1,NA,NA,NA,1.42162995456872,bad
2,NA,NA,NA,1.43974598901213,bad
3,0,50,3W,1.56807299237168,
4,0,50,3W,1.557777134796,
5,0,50,3W,1.57198289077199,
6,0,50,3W,1.56370375871453,
7,0,50,6M,1.57686999626749,
8,0,50,6M,1.56272211661498,
9,0,50,6M,1.57573661488522,
10,0,50,6M,1.57824746776156,
11,0,50,3M,1.5806356522556,
12,0,50,3M,1.56453965347584,
13,0,50,3M,1.54838616242827,
14,0,50,3M,1.5821099789361,
15,100,50,3W,1.57621115907125,
16,100,50,3W,1.55642221452912,
17,100,50,3W,1.57382961625677,
18,100,50,3W,1.55984505958706,
19,100,50,3M,1.56246649115776,
20,100,50,3M,1.55210118652797,
21,100,50,3M,1.56651142208338,
22,100,50,3M,1.57273122892192,
23,100,50,6M,1.54142520597033,
24,100,50,6M,1.55019771735252,
25,100,50,6M,1.54782498069753,
26,100,50,6M,1.58365042485004,
27,50,50,3W,1.55749616879723,
28,50,50,3W,1.54592817901969,
29,50,50,3W,1.55719297222813,
30,50,50,3W,1.568564234,
31,50,50,3M,1.578565472,
32,50,50,3M,1.56404553173744,
33,50,50,3M,1.57628222963377,
34,50,50,3M,1.56700419501187,
35,NA,NA,NA,1.43504160328703,bad
36,NA,NA,NA,1.41358087317297,bad
37,50,50,6M,1.59037646229135,
38,50,50,6M,1.56290376087118,
39,50,50,6M,1.55521379082392,
40,50,50,6M,1.55911208694496,
41,50,25,6M,1.56705096328822,
42,50,25,6M,1.55719337682951,
43,50,25,6M,1.55926327708971,
44,50,25,6M,1.55435341949623,
45,50,25,3M,1.57323907747002,
46,50,25,3M,1.58000988052233,
47,50,25,3M,1.56940758029137,
48,50,25,3M,1.57415141407292,
49,,,,1.3628135508279,bad
50,,,,1.38987559005401,bad
51,50,25,3W,1.57548112919183,
52,50,25,3W,1.54882965547484,
53,50,25,3W,1.55421401670935,
54,50,25,3W,1.56418801276655,
55,0,25,6M,1.55866228402016,
56,0,25,6M,1.56388748553075,
57,0,25,6M,1.54186861736905,
58,0,25,6M,1.54648739011734,
59,0,25,3M,1.55934328773252,
60,0,-40,3W,1.41210429007318,bad
61,0,-40,3W,1.42720469457891,bad
