response	test
1	-0.438185
1	-0.766791
1	0.695282
1	-0.689079
1	0.325977
1	0.70404
1	1.422915
-1	-1.112458
-1	-1.239353
-1	-1.163479
-1	-1.249179
-1	-1.183217
-1	-0.482047
-1	-1.419155
-1	-1.357454
-1	-1.236376
-1	-0.667208
-1	-1.079467
-1	-1.02047
-1	-1.068615
-1	-1.347979
-1	-1.184237
-1	-0.860974
-1	-0.156131
-1	0.14448
-1	-1.357956
-1	-1.071035
-1	-0.801116
-1	-1.228127
-1	-0.991477
-1	-1.26191
-1	-0.936294
-1	-1.310113
1	0.912903
1	0.221212
1	-0.806467
1	0.94837
1	-1.034398
1	-0.387337
1	-1.290532
1	-0.880723
-1	-1.185088
-1	-1.428262
-1	0.302189
-1	-1.208293
-1	-1.412933
-1	-1.353478
-1	-1.285134
-1	-1.304379
-1	-1.030925
-1	-1.295458
-1	-0.993094
-1	-0.876537
-1	-0.7266
-1	-0.794517
-1	-1.053133
-1	-1.361574
-1	-1.099695
-1	-1.077981
-1	-0.919193
-1	-1.238934
-1	-1.353478
-1	-0.349184
-1	0.31099
-1	-0.93524
-1	-1.431516
-1	-1.207431
-1	-1.185414
1	-0.594452
1	-1.307538
1	0.707511
1	1.042632
1	-1.296382
1	0.314858
1	0.241985
1	0.270567
-1	-1.09656
-1	-1.366069
-1	-0.947166
-1	-0.9147
-1	-1.388529
-1	-1.122447
-1	-1.017321
-1	-0.262716
-1	-0.703299
-1	-1.096417
-1	-1.424439
-1	-1.499219
-1	-1.35356
-1	-1.225325
-1	-1.577254
-1	-1.015829
-1	-1.28772
-1	-0.979322
-1	-1.295743
-1	-1.160898
-1	-0.723005
-1	0.301115
-1	-1.248901
-1	-0.87417
-1	-1.073742
-1	-0.627823
-1	-1.389726
1	0.049844
1	-0.044112
1	0.974304
1	-1.033988
1	-0.100751
1	-0.878682
1	-1.166582
1	1.096682
-1	-1.294904
-1	-1.059792
-1	-0.999583
-1	-0.899501
-1	-1.345539
-1	-1.177873
-1	-1.336806
-1	-1.08883
-1	-1.023221
-1	-1.006052
-1	-1.337305
-1	-1.228366
-1	-1.065159
-1	0.073578
-1	-0.896028
-1	-1.068752
-1	-1.294904
-1	-0.915792
-1	-1.113223
-1	0.987704
-1	-1.030048
-1	-0.983503
-1	-1.372322
-1	-1.155365
-1	-0.99511
-1	-1.308568
-1	-1.418269
1	-1.058457
1	-0.269247
1	0.911593
1	1.385848
1	-0.311606
1	-0.062705
1	0.710734
1	0.123619
-1	-1.08679
-1	-1.006339
-1	-1.228791
-1	-1.397971
-1	-1.025429
-1	-1.065099
-1	-1.108066
-1	-1.301792
-1	-0.890978
-1	-1.358178
-1	-1.04467
-1	-1.067671
-1	-1.135414
-1	-0.941799
-1	-1.382462
-1	-1.223338
-1	-1.207095
-1	-0.807587
-1	-1.362152
-1	-1.081672
-1	-0.999797
-1	-1.197561
-1	-1.189453
-1	-1.56622
-1	-0.683242
-1	-1.209947
-1	-1.020832
1	0.715377
1	-0.833625
1	1.083304
1	0.531651
1	0.661771
1	-0.200237
1	0.066155
1	-0.839555
-1	-0.777793
-1	-1.377465
-1	0.007535
-1	-1.153396
-1	-1.183588
-1	-1.1735
-1	-0.788267
-1	-0.860313
-1	-1.26119
-1	-1.195043
-1	-1.207999
-1	-1.145293
-1	-1.100795
-1	-1.075882
-1	-1.164832
-1	-1.13839
-1	-0.527397
-1	-1.317003
-1	-1.442354
-1	-0.897761
-1	-0.784845
-1	-1.025765
-1	-1.249637
-1	-1.31974
-1	-1.377465
-1	-1.468565
-1	-1.148187
1	-0.018087
1	0.545285
1	0.810509
1	0.852858
1	0.713035
1	-0.166551
1	0.801509
-1	-1.420588
-1	-0.960271
-1	-1.139361
-1	-1.158813
-1	-1.22586
-1	-1.386522
-1	-0.896825
-1	-0.928727
-1	-0.700463
-1	-1.04342
-1	-1.430508
-1	-1.189421
-1	-1.001158
-1	-1.162686
-1	-1.055756
-1	-1.12823
-1	-1.38099
-1	-1.282186
-1	-1.240579
-1	-1.113486
-1	-1.176034
-1	-1.133641
-1	-1.073255
-1	-1.035288
-1	-1.031647
-1	-0.627985
-1	-0.965508
1	0.380112
1	-0.064892
1	-1.026136
1	-0.116441
1	-0.675308
1	0.194113
1	0.158261
1	-0.651344
-1	-1.27385
-1	-1.048718
-1	-1.177973
-1	-1.092464
-1	-1.389756
-1	-1.030459
-1	-1.011063
-1	-1.371367
-1	-1.083793
-1	-1.140163
-1	-1.220205
-1	-1.248882
-1	-0.806585
-1	-0.844279
-1	-1.23478
-1	-0.188455
-1	-0.645759
-1	-0.962215
-1	-1.101149
-1	-0.955859
-1	-1.395363
-1	-0.829265
-1	-1.05473
-1	-1.014685
-1	-0.786172
-1	-1.089753
1	0.761224
1	1.516425
1	-1.31455
1	-0.316607
1	-0.021527
1	1.040227
1	-0.699543
1	0.320235
-1	-1.324065
-1	-1.223056
-1	-0.913071
-1	-0.809872
-1	-0.943078
-1	-1.257169
-1	-0.910794
-1	-0.6917
-1	-0.933348
-1	-1.127002
-1	-1.066477
-1	-1.223056
-1	0.141315
-1	-0.329904
-1	-1.17687
-1	-1.204943
-1	-0.763703
-1	-1.155976
-1	-1.290873
-1	-1.179669
-1	-1.046978
-1	-1.335325
-1	-0.886577
-1	-0.806786
-1	-1.322543
-1	-1.168708
-1	-0.540442
1	-0.171215
1	0.092743
1	0.322943
1	-0.911314
1	1.396635
1	1.729447
1	-0.275922
1	1.233046
-1	-1.025449
-1	-1.235457
-1	-0.893408
-1	-1.202666
-1	-1.467211
-1	-1.248732
-1	-1.012752
-1	-1.043558
-1	-1.378851
-1	-1.075935
-1	-1.247373
-1	-1.46193
-1	-1.099133
-1	-1.446688
-1	-1.316691
-1	-0.497199
-1	-1.24883
-1	-1.560397
-1	-1.357633
-1	-1.213491
-1	-1.403291
-1	-1.229697
-1	-1.150396
-1	-0.930206
-1	-1.169309
-1	-1.060596
